Name,Age,Price,Goods,Quantity,Rating,Discount,Category,Purchase Date
Hannah,30.0,246.58977735348316,Laptop,18,1.7,5.84,Electronics,2023-01-03 08:00:00
Alice,51.0,470.86446589719094,Headphones,15,3.0,28.06,Electronics,2023-01-03 09:00:00
Charlie,59.0,117.43879897428842,Phone,9,3.9,19.25,Gadgets,2023-01-03 10:00:00
Emma,38.0,197.86487859221515,Tablet,11,1.9,45.98,Electronics,2023-01-03 11:00:00
Charlie,39.0,305.1965988940551,Laptop,2,4.6,20.95,Electronics,2023-01-03 12:00:00
George,21.0,378.89277010446625,Tablet,6,1.7,30.72,Electronics,2023-01-03 13:00:00
Emma,35.0,451.31842642278906,Phone,14,3.2,40.57,Accessories,2023-01-03 14:00:00
Alice,22.0,458.15912884889,Tablet,14,4.1,15.14,Accessories,2023-01-03 15:00:00
George,36.0,389.4368368144484,Headphones,13,1.9,25.59,Accessories,2023-01-03 16:00:00
Bob,19.0,118.02376411368867,Tablet,5,2.2,6.05,Accessories,2023-01-03 17:00:00
David,29.0,17.280618371070073,Camera,9,1.2,21.64,Electronics,2023-01-03 18:00:00
Alice,34.0,194.96809552603378,Phone,11,4.8,18.79,Gadgets,2023-01-03 19:00:00
David,27.0,75.06668123897255,Camera,7,2.9,,Electronics,2023-01-03 20:00:00
Fiona,51.0,356.64188548195756,Tablet,2,,5.37,Electronics,2023-01-03 21:00:00
Bob,23.0,332.2596404787298,Camera,12,4.3,19.92,Gadgets,2023-01-03 22:00:00
Bob,25.0,26.765962602620146,Laptop,5,3.3,43.51,Gadgets,2023-01-03 23:00:00
Alice,68.0,419.1139206698208,Tablet,2,1.2,46.85,Gadgets,2023-01-04 00:00:00
Bob,28.0,128.12791681413523,Smartwatch,14,2.8,12.09,Gadgets,2023-01-04 01:00:00
Emma,29.0,218.9524023680659,Camera,7,2.7,15.03,Gadgets,2023-01-04 02:00:00
Bob,26.0,335.6271990505925,Headphones,5,1.6,0.48,Gadgets,2023-01-04 03:00:00
David,19.0,217.5622994918654,Tablet,4,2.7,5.78,Accessories,2023-01-04 04:00:00
David,25.0,223.43746238597197,Smartwatch,10,2.1,17.26,Gadgets,2023-01-04 05:00:00
George,28.0,37.485857691191484,Laptop,16,3.8,34.26,Gadgets,2023-01-04 06:00:00
David,53.0,203.71455688370187,Headphones,6,1.0,14.61,Gadgets,2023-01-04 07:00:00
George,27.0,383.5997071438918,Tablet,6,1.4,3.77,Gadgets,2023-01-04 08:00:00
David,38.0,458.0122869073659,Headphones,9,,36.54,Gadgets,2023-01-04 09:00:00
Emma,37.0,209.68108284636904,Tablet,1,2.7,23.34,Accessories,2023-01-04 10:00:00
Hannah,65.0,214.67498430514405,Tablet,16,1.7,25.96,Accessories,2023-01-04 11:00:00
George,25.0,352.8004176302078,Phone,17,4.2,16.3,Accessories,2023-01-04 12:00:00
Charlie,53.0,471.6721405471119,Camera,13,4.4,30.65,Electronics,2023-01-04 13:00:00
Fiona,46.0,137.1951654184833,Tablet,6,1.8,44.54,Gadgets,2023-01-04 14:00:00
Alice,,222.87138223627875,Laptop,2,3.9,27.69,Accessories,2023-01-04 15:00:00
David,29.0,399.00675555838905,Smartwatch,8,3.5,29.38,Gadgets,2023-01-04 16:00:00
Bob,31.0,306.7983168401491,Camera,4,4.0,18.68,Gadgets,2023-01-04 17:00:00
Hannah,65.0,59.74024026215759,Phone,9,4.2,4.13,Accessories,2023-01-04 18:00:00
David,67.0,315.7277041033215,Camera,7,3.6,21.43,Accessories,2023-01-04 19:00:00
Bob,38.0,97.43941087567681,Camera,1,4.8,46.23,Gadgets,2023-01-04 20:00:00
Fiona,39.0,257.55688736881007,Tablet,14,4.5,34.01,Gadgets,2023-01-04 21:00:00
Fiona,38.0,266.90611749191703,Laptop,2,1.9,24.51,Electronics,2023-01-04 22:00:00
Fiona,61.0,438.7206643013675,Tablet,8,4.7,31.04,Accessories,2023-01-04 23:00:00
Bob,67.0,233.9346656361569,Laptop,11,2.4,27.93,Gadgets,2023-01-05 00:00:00
David,47.0,143.32399900676765,Laptop,5,3.9,45.62,Electronics,2023-01-05 01:00:00
Fiona,56.0,119.32834236693563,Headphones,18,4.4,11.19,Gadgets,2023-01-05 02:00:00
Emma,37.0,437.7546789587464,Tablet,12,2.7,44.43,Accessories,2023-01-05 03:00:00
George,41.0,89.65037293702305,Phone,19,1.2,34.42,Gadgets,2023-01-05 04:00:00
Bob,40.0,215.80493763715614,Smartwatch,5,,6.39,Accessories,2023-01-05 05:00:00
Bob,24.0,97.65069188883876,Camera,7,1.3,18.6,Electronics,2023-01-05 06:00:00
David,26.0,387.7854998566158,Headphones,2,2.4,21.81,Gadgets,2023-01-05 07:00:00
Bob,18.0,239.8144567874364,Phone,17,3.4,4.15,Accessories,2023-01-05 08:00:00
Bob,43.0,178.81612682562198,Smartwatch,13,1.5,27.71,Electronics,2023-01-05 09:00:00
Fiona,55.0,183.74432211010108,Smartwatch,11,4.4,12.97,Electronics,2023-01-05 10:00:00
David,55.0,426.8460323278748,Tablet,5,1.8,22.91,Accessories,2023-01-05 11:00:00
Fiona,61.0,279.11810737574683,Laptop,13,4.9,,Gadgets,2023-01-05 12:00:00
George,39.0,360.3445863099755,Tablet,13,4.7,26.08,Accessories,2023-01-05 13:00:00
Hannah,61.0,449.03406554408883,Smartwatch,8,3.4,42.31,Electronics,2023-01-05 14:00:00
George,27.0,451.3621296401178,Tablet,11,3.6,39.04,Accessories,2023-01-05 15:00:00
Hannah,23.0,167.61198189724226,Headphones,8,3.1,43.65,Electronics,2023-01-05 16:00:00
Fiona,34.0,476.4633752574607,Phone,10,2.6,28.62,Electronics,2023-01-05 17:00:00
George,68.0,,Smartwatch,11,2.4,30.79,Electronics,2023-01-05 18:00:00
David,67.0,,Headphones,1,4.6,21.52,Electronics,2023-01-05 19:00:00
Alice,55.0,448.4204344668766,Phone,7,3.3,35.86,Gadgets,2023-01-05 20:00:00
Fiona,41.0,140.94525550940654,Headphones,8,4.3,10.24,Electronics,2023-01-05 21:00:00
Hannah,68.0,140.17531790905258,Camera,6,3.1,23.76,Electronics,2023-01-05 22:00:00
Emma,27.0,154.7980311155349,Laptop,14,2.2,35.71,Electronics,2023-01-05 23:00:00
Hannah,25.0,308.09512549922647,Laptop,7,1.4,38.89,Accessories,2023-01-06 00:00:00
Emma,38.0,221.97472392910512,Laptop,3,2.3,12.4,Gadgets,2023-01-06 01:00:00
Bob,23.0,,Camera,2,4.5,9.08,Electronics,2023-01-06 02:00:00
George,38.0,447.98076806950957,Smartwatch,18,3.8,14.43,Accessories,2023-01-06 03:00:00
Emma,56.0,338.72869059671604,Smartwatch,3,4.1,46.01,Electronics,2023-01-06 04:00:00
Hannah,41.0,106.21102649779988,Camera,14,,6.46,Gadgets,2023-01-06 05:00:00
Bob,50.0,466.6775416684486,Laptop,18,1.5,47.65,Gadgets,2023-01-06 06:00:00
Alice,35.0,135.92397230700186,Laptop,13,1.6,49.74,Gadgets,2023-01-06 07:00:00
David,45.0,79.19767618743828,Phone,8,2.3,39.17,Gadgets,2023-01-06 08:00:00
David,69.0,49.53380303617564,Phone,4,,38.02,Accessories,2023-01-06 09:00:00
David,49.0,283.874951629752,Tablet,15,1.3,47.66,Gadgets,2023-01-06 10:00:00
Emma,29.0,61.31241892792264,Headphones,12,1.6,14.53,Accessories,2023-01-06 11:00:00
Alice,65.0,,Phone,14,4.4,6.45,Accessories,2023-01-06 12:00:00
Emma,59.0,,Phone,7,3.4,41.16,Gadgets,2023-01-06 13:00:00
George,44.0,144.4182397938096,Phone,12,2.4,8.55,Accessories,2023-01-06 14:00:00
Emma,27.0,304.0985576144104,Phone,9,3.1,2.27,Accessories,2023-01-06 15:00:00
Alice,63.0,409.28891333897735,Camera,10,2.0,9.82,Gadgets,2023-01-06 16:00:00
Alice,69.0,381.8680798204317,Tablet,8,3.3,21.9,Electronics,2023-01-06 17:00:00
George,59.0,134.92980508465598,Phone,2,1.3,24.76,Electronics,2023-01-06 18:00:00
Alice,49.0,126.42869650306007,Smartwatch,16,4.6,3.13,Accessories,2023-01-06 19:00:00
Hannah,59.0,483.06680740294894,Headphones,18,2.0,22.17,Gadgets,2023-01-06 20:00:00
Alice,43.0,9.076939588020263,Phone,10,4.3,30.22,Gadgets,2023-01-06 21:00:00
David,42.0,440.46166386480684,Camera,6,3.6,46.59,Gadgets,2023-01-06 22:00:00
Hannah,28.0,103.86561696559046,Smartwatch,6,3.1,11.37,Electronics,2023-01-06 23:00:00
Hannah,,473.9057399294351,Laptop,13,4.7,10.55,Accessories,2023-01-07 00:00:00
George,51.0,174.44210598962226,Laptop,19,1.6,19.47,Gadgets,2023-01-07 01:00:00
Charlie,69.0,222.9741280771599,Tablet,17,1.5,49.18,Accessories,2023-01-07 02:00:00
Charlie,57.0,355.02470390246856,Laptop,2,2.3,16.81,Gadgets,2023-01-07 03:00:00
Alice,40.0,295.8961804792639,Phone,18,4.3,2.19,Gadgets,2023-01-07 04:00:00
Hannah,46.0,162.3799682048773,Camera,7,1.1,13.28,Gadgets,2023-01-07 05:00:00
Charlie,48.0,279.14630335457264,Tablet,14,2.0,27.92,Accessories,2023-01-07 06:00:00
Charlie,24.0,366.6999077596287,Smartwatch,15,2.7,20.63,Electronics,2023-01-07 07:00:00
Alice,57.0,25.955798221733588,Phone,8,3.9,,Electronics,2023-01-07 08:00:00
Charlie,50.0,10.54365610157354,Laptop,9,2.2,30.36,Accessories,2023-01-07 09:00:00
Emma,38.0,231.7431348410812,Headphones,11,2.8,27.97,Gadgets,2023-01-07 10:00:00
Bob,19.0,70.25912581273953,Phone,3,2.3,16.15,Electronics,2023-01-07 11:00:00
George,35.0,333.8504242750336,Headphones,14,1.4,27.59,Electronics,2023-01-07 12:00:00
Bob,64.0,110.95596583257992,Smartwatch,8,4.0,30.78,Accessories,2023-01-07 13:00:00
Alice,50.0,219.26129786385712,Headphones,3,2.8,8.96,Accessories,2023-01-07 14:00:00
David,54.0,102.84711375276314,Smartwatch,18,4.3,36.79,Accessories,2023-01-07 15:00:00
George,51.0,276.4993749458166,Tablet,14,3.8,19.65,Gadgets,2023-01-07 16:00:00
Alice,37.0,62.44646239536161,Camera,8,1.2,37.11,Gadgets,2023-01-07 17:00:00
Hannah,52.0,16.437892129802727,Laptop,17,3.0,8.89,Accessories,2023-01-07 18:00:00
David,68.0,30.310160862815106,Laptop,8,5.0,32.83,Accessories,2023-01-07 19:00:00
Bob,67.0,477.3579285500784,Phone,5,2.2,1.34,Electronics,2023-01-07 20:00:00
Alice,35.0,75.43167821241323,Laptop,12,3.0,,Electronics,2023-01-07 21:00:00
Hannah,63.0,355.69673530273343,Tablet,2,3.6,44.56,Accessories,2023-01-07 22:00:00
George,41.0,38.62347109029899,Laptop,17,1.8,23.07,Accessories,2023-01-07 23:00:00
George,25.0,58.53937435641517,Phone,13,3.8,25.39,Accessories,2023-01-08 00:00:00
Fiona,47.0,256.89374444762063,Laptop,14,3.6,45.38,Electronics,2023-01-08 01:00:00
Hannah,61.0,235.1111104264001,Camera,9,2.5,24.25,Electronics,2023-01-08 02:00:00
Emma,27.0,476.03225317273547,Smartwatch,9,2.1,32.73,Gadgets,2023-01-08 03:00:00
Charlie,40.0,472.693549245265,Headphones,9,4.7,11.1,Electronics,2023-01-08 04:00:00
David,69.0,390.90627805852023,Headphones,6,1.5,4.08,Electronics,2023-01-08 05:00:00
Hannah,66.0,303.0404059130381,Smartwatch,12,2.7,17.67,Accessories,2023-01-08 06:00:00
Fiona,28.0,230.20535710954044,Headphones,10,4.1,39.93,Accessories,2023-01-08 07:00:00
Charlie,,181.30837449256842,Camera,5,1.6,22.34,Gadgets,2023-01-08 08:00:00
Charlie,43.0,473.80833575289995,Tablet,18,4.7,8.41,Accessories,2023-01-08 09:00:00
Alice,53.0,303.4398616552194,Phone,7,3.1,27.25,Accessories,2023-01-08 10:00:00
Charlie,50.0,291.6409012045673,Camera,13,,13.19,Electronics,2023-01-08 11:00:00
Emma,64.0,119.79105527561286,Phone,1,2.7,47.33,Accessories,2023-01-08 12:00:00
George,30.0,28.11541985313097,Tablet,6,4.5,28.87,Electronics,2023-01-08 13:00:00
Fiona,57.0,472.8683469809745,Camera,8,4.8,49.15,Electronics,2023-01-08 14:00:00
Charlie,42.0,160.29895312810368,Laptop,9,2.5,2.15,Accessories,2023-01-08 15:00:00
Alice,21.0,224.08156654560707,Tablet,7,3.2,0.58,Accessories,2023-01-08 16:00:00
Emma,59.0,61.746772074924884,Headphones,10,2.3,23.85,Electronics,2023-01-08 17:00:00
Bob,36.0,419.2775433050995,Camera,8,,43.1,Gadgets,2023-01-08 18:00:00
George,35.0,18.67775726368566,Tablet,2,,26.22,Accessories,2023-01-08 19:00:00
George,54.0,417.8254272390528,Tablet,18,4.1,43.81,Electronics,2023-01-08 20:00:00
Fiona,47.0,,Camera,15,4.9,6.53,Electronics,2023-01-08 21:00:00
George,36.0,,Headphones,6,4.1,34.97,Accessories,2023-01-08 22:00:00
Charlie,40.0,366.2374554813979,Smartwatch,14,3.1,32.99,Electronics,2023-01-08 23:00:00
Alice,33.0,86.51177994111602,Headphones,18,4.3,27.25,Accessories,2023-01-09 00:00:00
George,18.0,285.0799064654367,Tablet,3,4.4,20.26,Gadgets,2023-01-09 01:00:00
George,29.0,159.76487560583362,Phone,1,3.2,32.35,Gadgets,2023-01-09 02:00:00
Bob,41.0,93.2253839612338,Smartwatch,1,4.7,27.5,Electronics,2023-01-09 03:00:00
Bob,51.0,430.29518870849864,Smartwatch,14,1.1,13.63,Accessories,2023-01-09 04:00:00
David,25.0,204.74376942107855,Tablet,1,,5.23,Accessories,2023-01-09 05:00:00
Emma,35.0,202.27913861086432,Camera,1,1.3,19.33,Gadgets,2023-01-09 06:00:00
Charlie,65.0,89.0939040292769,Camera,4,1.2,25.62,Gadgets,2023-01-09 07:00:00
George,22.0,194.61750966246044,Camera,12,2.7,25.43,Accessories,2023-01-09 08:00:00
Hannah,43.0,436.4503389327808,Headphones,15,4.8,21.28,Electronics,2023-01-09 09:00:00
George,47.0,184.74871169236977,Laptop,4,3.7,16.37,Accessories,2023-01-09 10:00:00
Alice,30.0,476.0437634373951,Camera,10,3.6,17.52,Electronics,2023-01-09 11:00:00
David,36.0,473.4229051081518,Camera,11,2.5,13.29,Electronics,2023-01-09 12:00:00
Emma,46.0,76.72483635713628,Smartwatch,6,3.1,29.0,Accessories,2023-01-09 13:00:00
Hannah,20.0,92.76907049370921,Phone,10,2.2,42.49,Accessories,2023-01-09 14:00:00
David,43.0,432.0236648142851,Phone,12,3.1,43.98,Gadgets,2023-01-09 15:00:00
Fiona,57.0,199.416654867736,Tablet,3,4.0,49.69,Gadgets,2023-01-09 16:00:00
Emma,29.0,7.165121230089621,Tablet,15,3.2,,Gadgets,2023-01-09 17:00:00
George,19.0,140.56655075415864,Tablet,16,2.7,10.71,Electronics,2023-01-09 18:00:00
George,28.0,300.8263516318022,Camera,10,4.4,36.51,Gadgets,2023-01-09 19:00:00
Emma,61.0,,Phone,11,2.1,32.26,Accessories,2023-01-09 20:00:00
George,45.0,71.02736546116348,Tablet,16,2.9,6.69,Electronics,2023-01-09 21:00:00
Charlie,35.0,59.717975386283996,Phone,17,4.9,31.55,Gadgets,2023-01-09 22:00:00
Emma,30.0,461.43586351830413,Camera,14,4.9,20.32,Accessories,2023-01-09 23:00:00
David,54.0,376.8184420721784,Smartwatch,16,1.0,47.84,Accessories,2023-01-10 00:00:00
Emma,39.0,296.94090238514883,Camera,14,3.1,42.76,Gadgets,2023-01-10 01:00:00
Hannah,29.0,385.74746104798436,Tablet,6,2.3,3.66,Accessories,2023-01-10 02:00:00
George,19.0,217.28290884678603,Camera,10,2.2,4.5,Accessories,2023-01-10 03:00:00
Charlie,54.0,380.43559491801767,Camera,17,3.4,20.85,Accessories,2023-01-10 04:00:00
Charlie,24.0,189.0424806808952,Phone,10,2.8,0.42,Gadgets,2023-01-10 05:00:00
Fiona,43.0,125.82681338383817,Laptop,10,3.9,4.72,Accessories,2023-01-10 06:00:00
David,43.0,365.8616435400195,Headphones,14,1.1,46.63,Electronics,2023-01-10 07:00:00
Bob,41.0,212.7377846178478,Tablet,17,4.7,39.62,Accessories,2023-01-10 08:00:00
Bob,29.0,490.7816666414665,Laptop,9,3.3,33.64,Accessories,2023-01-10 09:00:00
Emma,33.0,177.99516524250998,Smartwatch,15,3.7,41.51,Gadgets,2023-01-10 10:00:00
Fiona,40.0,461.25507316287764,Tablet,7,3.4,12.5,Accessories,2023-01-10 11:00:00
Alice,57.0,466.8164615407043,Laptop,2,5.0,36.28,Gadgets,2023-01-10 12:00:00
Emma,26.0,124.71720879704934,Camera,4,4.9,30.78,Gadgets,2023-01-10 13:00:00
Fiona,49.0,400.11948488606663,Tablet,18,3.4,42.43,Gadgets,2023-01-10 14:00:00
David,,219.37188004655974,Laptop,11,3.7,14.13,Gadgets,2023-01-10 15:00:00
David,54.0,459.17473997902226,Headphones,5,,38.19,Accessories,2023-01-10 16:00:00
David,30.0,227.8115149544432,Camera,8,2.2,42.63,Accessories,2023-01-10 17:00:00
David,22.0,373.43034008199623,Tablet,5,1.8,27.45,Gadgets,2023-01-10 18:00:00
David,28.0,236.14886753607993,Smartwatch,2,2.6,20.69,Gadgets,2023-01-10 19:00:00
Fiona,27.0,117.7613740778638,Smartwatch,5,3.7,47.43,Gadgets,2023-01-10 20:00:00
Fiona,69.0,103.67831382761972,Tablet,3,1.2,8.45,Gadgets,2023-01-10 21:00:00
Charlie,30.0,215.58844115689107,Laptop,12,3.1,1.81,Accessories,2023-01-10 22:00:00
Hannah,58.0,378.96985522203636,Tablet,19,2.6,8.96,Electronics,2023-01-10 23:00:00
Bob,63.0,304.51038516447954,Camera,7,3.1,34.17,Accessories,2023-01-11 00:00:00
George,67.0,345.87149850076895,Phone,19,4.4,39.45,Gadgets,2023-01-11 01:00:00
David,32.0,144.7515436123115,Smartwatch,4,1.2,35.84,Gadgets,2023-01-11 02:00:00
Alice,59.0,243.31049624901473,Laptop,14,4.1,20.99,Gadgets,2023-01-11 03:00:00
George,24.0,26.975656159816864,Headphones,19,3.7,48.38,Gadgets,2023-01-11 04:00:00
Fiona,57.0,409.67854589926975,Tablet,18,1.8,22.22,Electronics,2023-01-11 05:00:00
Alice,45.0,494.99662030873793,Camera,7,3.9,49.07,Gadgets,2023-01-11 06:00:00
Alice,49.0,206.4051359992121,Tablet,15,3.0,45.91,Electronics,2023-01-11 07:00:00
Alice,52.0,10.427008300113958,Headphones,1,2.9,20.36,Accessories,2023-01-11 08:00:00
Charlie,32.0,89.04735657771894,Camera,12,2.9,8.05,Electronics,2023-01-11 09:00:00
Fiona,65.0,328.00080448645735,Headphones,19,4.8,4.49,Accessories,2023-01-11 10:00:00
Alice,53.0,307.9792625109103,Camera,6,4.8,26.57,Electronics,2023-01-11 11:00:00
David,38.0,394.99303619484425,Phone,13,4.7,38.16,Gadgets,2023-01-11 12:00:00
Emma,23.0,130.67258542572876,Smartwatch,6,4.5,8.8,Electronics,2023-01-11 13:00:00
Alice,18.0,382.99779819583136,Camera,13,1.2,15.91,Gadgets,2023-01-11 14:00:00
Charlie,21.0,345.55209065421656,Headphones,15,2.6,31.53,Electronics,2023-01-11 15:00:00
George,28.0,,Laptop,16,4.6,23.04,Accessories,2023-01-11 16:00:00
Fiona,61.0,275.0166332881962,Smartwatch,8,4.0,30.19,Electronics,2023-01-11 17:00:00
Hannah,43.0,,Phone,13,2.8,33.82,Electronics,2023-01-11 18:00:00
Charlie,54.0,229.01942920061342,Tablet,13,4.1,19.03,Accessories,2023-01-11 19:00:00
Alice,40.0,441.1926830800423,Phone,12,1.8,39.3,Electronics,2023-01-11 20:00:00
Fiona,46.0,213.48973301356844,Phone,19,3.4,,Accessories,2023-01-11 21:00:00
Emma,38.0,420.58551970533387,Tablet,17,3.1,34.38,Electronics,2023-01-11 22:00:00
Alice,65.0,297.17541580354873,Camera,3,3.3,7.47,Accessories,2023-01-11 23:00:00
Charlie,62.0,99.9789729856666,Phone,15,3.9,,Accessories,2023-01-12 00:00:00
Bob,62.0,292.64759112545875,Smartwatch,17,4.8,28.86,Gadgets,2023-01-12 01:00:00
David,66.0,255.46174793274642,Phone,6,2.1,11.32,Accessories,2023-01-12 02:00:00
Hannah,44.0,202.3274609222101,Laptop,19,4.0,37.93,Accessories,2023-01-12 03:00:00
George,56.0,64.21706756045481,Smartwatch,12,3.6,,Gadgets,2023-01-12 04:00:00
Charlie,57.0,211.27078860437877,Laptop,4,3.8,7.49,Gadgets,2023-01-12 05:00:00
Fiona,30.0,41.01737623861542,Smartwatch,12,2.7,20.67,Accessories,2023-01-12 06:00:00
Hannah,40.0,53.89068044238187,Headphones,2,4.8,6.77,Gadgets,2023-01-12 07:00:00
Hannah,33.0,210.87868380169442,Tablet,7,2.9,0.58,Accessories,2023-01-12 08:00:00
Hannah,47.0,,Smartwatch,16,1.5,20.57,Accessories,2023-01-12 09:00:00
Alice,21.0,463.1444413018006,Smartwatch,12,3.7,32.43,Electronics,2023-01-12 10:00:00
David,57.0,190.9743736632339,Camera,16,1.5,24.76,Accessories,2023-01-12 11:00:00
Alice,33.0,380.13977042568956,Camera,14,2.3,2.61,Gadgets,2023-01-12 12:00:00
Fiona,48.0,267.4725255512902,Headphones,1,1.9,11.62,Electronics,2023-01-12 13:00:00
Alice,59.0,,Camera,9,3.2,26.22,Electronics,2023-01-12 14:00:00
Bob,42.0,133.7574115926226,Camera,7,2.4,36.9,Gadgets,2023-01-12 15:00:00
David,61.0,471.2429615549729,Laptop,5,1.6,,Gadgets,2023-01-12 16:00:00
David,29.0,267.3938059726398,Camera,10,4.2,25.97,Electronics,2023-01-12 17:00:00
Fiona,43.0,416.50541528619857,Camera,10,2.9,32.31,Gadgets,2023-01-12 18:00:00
George,54.0,185.69761827067617,Headphones,18,,45.17,Gadgets,2023-01-12 19:00:00
Bob,65.0,54.60461778000965,Headphones,7,4.5,3.26,Accessories,2023-01-12 20:00:00
Charlie,50.0,338.48726562182014,Phone,18,3.2,4.96,Gadgets,2023-01-12 21:00:00
Alice,45.0,8.84102592702512,Camera,13,3.8,22.89,Accessories,2023-01-12 22:00:00
Emma,26.0,240.2700233999266,Camera,11,2.3,30.49,Gadgets,2023-01-12 23:00:00
